,x,y,r,ptap,1,2,13,7,k1,k2,11,14,8,k3,k4,12,9,15,29,configuration,31,32,33,10
14,74,434,7,29,1172.0273034362297,988.01821845551,859.5836201324453,855.6284240252892,791.8434188651188,604.2416735048982,515.5036372325611,522.4442553995593,519.1261888982292,419.23740291152455,233.4180798481557,188.4887264533346,202.51419703319567,204.40156555173445,0.0,no_store,,,,
0,1114,422,6,2,,0.0,181.37254478007415,181.57092278225608,203.73512215619573,386.98837191833036,480.28324975997236,492.8326287899372,492.8326287899372,572.0174822503242,757.5222769001582,808.5369502997373,828.4467393864255,826.4671802316169,984.0,store_in,272.1176216271192,452.0398212547209,632.0126581010858,
1,978,302,6,13,,181.37254478007415,0.0,238.00840321299583,95.01578816175763,258.2401982651036,386.5953957304717,342.0,417.80856860528843,439.9318128983172,624.1666444147749,694.8064478687572,724.2237223399962,682.0029325450148,856.4484806455085,store_in,176.1817243643619,335.9345174286203,509.38394163931,
2,976,540,5,7,,181.57092278225608,238.00840321299583,0.0,176.5106229097841,296.76927064640637,342.28642976314444,415.0228909349459,340.00588230205665,462.79585132107655,639.9062431325389,670.1790805448943,682.0,719.7888579298793,854.1896744868789,store_in,183.9347710466947,337.5973933548658,508.8418221805279,
3,916,374,7,k1,,203.73512215619573,95.01578816175763,176.5106229097841,0.0,186.0,299.7131962393381,289.10897599348243,326.5333061113368,372.0,558.0,618.229730763573,643.7701453158572,623.9390995922599,787.4642849044012,store_in,84.11896337925236,257.4490240804964,436.22471273415954,
4,842,414,6,31,,272.1176216271192,176.1817243643619,183.9347710466947,84.11896337925236,118.92854997854805,216.33307652783935,234.47814397081873,242.52834885843757,300.6725793949292,485.6500797899657,538.8320703150472,562.2988529243146,556.9703762319859,712.0449424018121,store_in,0.0,180.01111076819674,360.0222215363935,
5,730,374,7,k2,,386.98837191833036,258.2401982651036,296.76927064640637,186.0,0.0,144.9413674559475,118.40608092492548,192.50974001333023,186.0,372.0,436.6096654908134,466.5318852983148,439.6089171070123,601.9169377912538,store_in,118.92854997854805,79.92496481075234,251.87298386289865,
6,662,416,6,32,,452.0398212547209,335.9345174286203,337.5973933548658,257.4490240804964,79.92496481075234,74.0,116.92732785794773,128.65457628860312,125.25174649480941,306.88760157425713,360.85454133209964,388.329756778952,382.7531841800928,532.0338335106143,store_in,180.01111076819674,0.0,180.01111076819674,
7,638,486,5,11,,480.28324975997236,386.5953957304717,342.28642976314444,299.7131962393381,144.9413674559475,0.0,184.0108692441835,56.0357029044876,146.21901381147393,301.56922919953223,330.0,348.2125787503949,387.41192547468125,512.0156247615887,store_in,216.33307652783935,74.0,170.1763790894612,
8,636,302,6,14,,492.8326287899372,342.0,415.0228909349459,289.10897599348243,118.40608092492548,184.0108692441835,0.0,240.0,116.82465493208187,287.17242207426534,376.0850967533811,416.66293331660785,340.00588230205665,520.0346142325528,store_in,234.47814397081873,116.92732785794773,192.80041493731284,
